"Week End","Week End Last Year","Region","Crude Volumes For The Week","Percent Of Capacity","4 Week Average","4 Week Average Last Year","YTD Average","YTD Average Last Year","Unit"
"04/09/1991","04/10/1990","Ontario","60.670","59.190","62.100","79.420","68.340","81.280","thousand cubic metres per day"
"04/09/1991","04/10/1990","Quebec & Eastern Canada","102.190","98.830","101.100","80.660","93.420","85.260","thousand cubic metres per day"
"04/09/1991","04/10/1990","Western Canada","65.550","77.670","66.340","73.990","65.930","69.850","thousand cubic metres per day"
"04/16/1991","04/17/1990","Ontario","65.880","64.270","62.160","79.570","68.180","80.830","thousand cubic metres per day"
"04/16/1991","04/17/1990","Quebec & Eastern Canada","92.270","89.240","98.500","78.370","93.350","84.200","thousand cubic metres per day"
"04/16/1991","04/17/1990","Western Canada","67.330","79.770","66.360","73.510","66.020","69.950","thousand cubic metres per day"
"04/23/1991","04/24/1990","Ontario","62.460","60.940","63.070","72.960","67.850","79.320","thousand cubic metres per day"
"04/23/1991","04/24/1990","Quebec & Eastern Canada","81.230","78.560","95.650","75.780","92.640","83.450","thousand cubic metres per day"
"04/23/1991","04/24/1990","Western Canada","68.610","81.290","67.870","70.740","66.170","69.650","thousand cubic metres per day"
"04/30/1991","05/01/1990","Ontario","66.940","65.310","63.990","66.460","67.800","77.890","thousand cubic metres per day"
"04/30/1991","05/01/1990","Quebec & Eastern Canada","73.620","71.200","87.330","72.050","91.580","82.470","thousand cubic metres per day"
"04/30/1991","05/01/1990","Western Canada","65.440","77.540","66.740","68.450","66.130","69.480","thousand cubic metres per day"
"05/07/1991","05/08/1990","Ontario","67.310","65.670","65.650","59.890","67.770","76.780","thousand cubic metres per day"
"05/07/1991","05/08/1990","Quebec & Eastern Canada","72.350","69.970","79.870","71.610","90.570","82.390","thousand cubic metres per day"
"05/07/1991","05/08/1990","Western Canada","62.160","73.650","65.890","65.580","65.920","68.950","thousand cubic metres per day"
"05/14/1991","05/15/1990","Ontario","66.700","65.070","65.850","56.490","67.720","75.960","thousand cubic metres per day"
"05/14/1991","05/15/1990","Quebec & Eastern Canada","70.050","67.750","74.310","75.770","89.550","82.520","thousand cubic metres per day"
"05/14/1991","05/15/1990","Western Canada","63.180","74.860","64.850","62.810","65.790","68.520","thousand cubic metres per day"
"05/21/1991","05/22/1990","Ontario","67.180","65.540","67.030","57.330","67.690","75.130","thousand cubic metres per day"
"05/21/1991","05/22/1990","Quebec & Eastern Canada","84.160","81.390","75.050","80.080","89.290","82.810","thousand cubic metres per day"
"05/21/1991","05/22/1990","Western Canada","67.350","79.800","64.540","62.780","65.860","68.340","thousand cubic metres per day"
"05/28/1991","05/29/1990","Ontario","70.290","68.580","67.870","62.350","67.810","75.060","thousand cubic metres per day"
"05/28/1991","05/29/1990","Quebec & Eastern Canada","97.640","94.430","81.050","84.280","89.670","82.800","thousand cubic metres per day"
"05/28/1991","05/29/1990","Western Canada","64.240","76.110","64.230","63.080","65.790","68.310","thousand cubic metres per day"
"06/04/1991","06/05/1990","Ontario","73.680","71.880","69.460","64.700","68.060","74.680","thousand cubic metres per day"
"06/04/1991","06/05/1990","Quebec & Eastern Canada","95.170","92.040","86.760","83.280","89.910","82.540","thousand cubic metres per day"
"06/04/1991","06/05/1990","Western Canada","66.390","78.660","65.290","66.140","65.810","68.460","thousand cubic metres per day"
"06/11/1991","06/12/1990","Ontario","78.660","76.740","72.450","64.510","68.510","74.050","thousand cubic metres per day"
"06/11/1991","06/12/1990","Quebec & Eastern Canada","93.860","90.770","92.710","81.280","90.070","82.310","thousand cubic metres per day"
"06/11/1991","06/12/1990","Western Canada","69.360","82.180","66.840","68.520","65.960","68.520","thousand cubic metres per day"
"06/18/1991","06/19/1990","Ontario","79.260","77.330","75.470","65.940","68.940","73.660","thousand cubic metres per day"
"06/18/1991","06/19/1990","Quebec & Eastern Canada","87.980","85.090","93.670","78.380","89.990","82.100","thousand cubic metres per day"
"06/18/1991","06/19/1990","Western Canada","64.640","76.590","66.160","71.400","65.910","68.830","thousand cubic metres per day"
"06/25/1991","06/26/1990","Ontario","81.260","79.280","78.220","67.880","69.410","73.960","thousand cubic metres per day"
"06/25/1991","06/26/1990","Quebec & Eastern Canada","90.010","87.050","91.760","75.600","89.990","81.690","thousand cubic metres per day"
